sample	path	group
T148361	data/bams/DPCh_plate2_A07_S103.rmdup.bam	BCS
T148374	data/bams/DPCh_plate2_A08_S104.rmdup.bam	BCS
T148367	data/bams/DPCh_plate2_B07_S111.rmdup.bam	BCS
T148386	data/bams/DPCh_plate2_B08_S112.rmdup.bam	BCS
T148368	data/bams/DPCh_plate2_C07_S119.rmdup.bam	BCS
T148391	data/bams/DPCh_plate2_C08_S120.rmdup.bam	BCS
T148369	data/bams/DPCh_plate2_D07_S127.rmdup.bam	BCS
T148392	data/bams/DPCh_plate2_D08_S128.rmdup.bam	BCS
T148370	data/bams/DPCh_plate2_E07_S135.rmdup.bam	BCS
T148396	data/bams/DPCh_plate2_E08_S136.rmdup.bam	BCS
T148371	data/bams/DPCh_plate2_F07_S143.rmdup.bam	BCS
T148397	data/bams/DPCh_plate2_F08_S144.rmdup.bam	BCS
T148372	data/bams/DPCh_plate2_G07_S151.rmdup.bam	BCS
T148407	data/bams/DPCh_plate2_G08_S152.rmdup.bam	BCS
T148373	data/bams/DPCh_plate2_H07_S159.rmdup.bam	BCS
T148412	data/bams/DPCh_plate2_H08_S160.rmdup.bam	BCS
T145082	data/bams/DPCh_plate2_A03_S99.rmdup.bam	CHLF
T145092	data/bams/DPCh_plate2_A04_S100.rmdup.bam	CHLF
T145084	data/bams/DPCh_plate2_B03_S107.rmdup.bam	CHLF
T145097	data/bams/DPCh_plate2_B04_S108.rmdup.bam	CHLF
T145085	data/bams/DPCh_plate2_C03_S115.rmdup.bam	CHLF
T145100	data/bams/DPCh_plate2_C04_S116.rmdup.bam	CHLF
T145086	data/bams/DPCh_plate2_D03_S123.rmdup.bam	CHLF
T145101	data/bams/DPCh_plate2_D04_S124.rmdup.bam	CHLF
T145087	data/bams/DPCh_plate2_E03_S131.rmdup.bam	CHLF
T145102	data/bams/DPCh_plate2_E04_S132.rmdup.bam	CHLF
T145088	data/bams/DPCh_plate2_F03_S139.rmdup.bam	CHLF
T145103	data/bams/DPCh_plate2_F04_S140.rmdup.bam	CHLF
T145089	data/bams/DPCh_plate2_G03_S147.rmdup.bam	CHLF
T145104	data/bams/DPCh_plate2_G04_S148.rmdup.bam	CHLF
T145091	data/bams/DPCh_plate2_H03_S155.rmdup.bam	CHLF
T145105	data/bams/DPCh_plate2_H04_S156.rmdup.bam	CHLF
T144863	data/bams/DPCh_plate1_A05_S5.rmdup.bam	FRHF
T144906	data/bams/DPCh_plate1_A06_S6.rmdup.bam	FRHF
T144870	data/bams/DPCh_plate1_B05_S17.rmdup.bam	FRHF
T144911	data/bams/DPCh_plate1_B06_S18.rmdup.bam	FRHF
T144871	data/bams/DPCh_plate1_C05_S29.rmdup.bam	FRHF
T144920	data/bams/DPCh_plate1_C06_S30.rmdup.bam	FRHF
T144879	data/bams/DPCh_plate1_D05_S41.rmdup.bam	FRHF
T144924	data/bams/DPCh_plate1_D06_S42.rmdup.bam	FRHF
T144893	data/bams/DPCh_plate1_E05_S53.rmdup.bam	FRHF
T144934	data/bams/DPCh_plate1_E06_S54.rmdup.bam	FRHF
T144896	data/bams/DPCh_plate1_F05_S65.rmdup.bam	FRHF
T144951	data/bams/DPCh_plate1_F06_S66.rmdup.bam	FRHF
T144897	data/bams/DPCh_plate1_G05_S77.rmdup.bam	FRHF
T144952	data/bams/DPCh_plate1_G06_S78.rmdup.bam	FRHF
T144902	data/bams/DPCh_plate1_H05_S89.rmdup.bam	FRHF
T144958	data/bams/DPCh_plate1_H06_S90.rmdup.bam	FRHF
T145128	data/bams/DPCh_plate1_A07_S7.rmdup.bam	FRHS
T145142	data/bams/DPCh_plate1_A08_S8.rmdup.bam	FRHS
T145130	data/bams/DPCh_plate1_B07_S19.rmdup.bam	FRHS
T145144	data/bams/DPCh_plate1_B08_S20.rmdup.bam	FRHS
T145131	data/bams/DPCh_plate1_C07_S31.rmdup.bam	FRHS
T145145	data/bams/DPCh_plate1_C08_S32.rmdup.bam	FRHS
T145133	data/bams/DPCh_plate1_D07_S43.rmdup.bam	FRHS
T145146	data/bams/DPCh_plate1_D08_S44.rmdup.bam	FRHS
T145136	data/bams/DPCh_plate1_E07_S55.rmdup.bam	FRHS
T145147	data/bams/DPCh_plate1_E08_S56.rmdup.bam	FRHS
T145139	data/bams/DPCh_plate1_F07_S67.rmdup.bam	FRHS
T145148	data/bams/DPCh_plate1_F08_S68.rmdup.bam	FRHS
T145140	data/bams/DPCh_plate1_G07_S79.rmdup.bam	FRHS
T145149	data/bams/DPCh_plate1_G08_S80.rmdup.bam	FRHS
T145141	data/bams/DPCh_plate1_H07_S91.rmdup.bam	FRHS
T145150	data/bams/DPCh_plate1_H08_S92.rmdup.bam	FRHS
